INFO:root:Processed IP 10.124.2.7: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.126.226: Fraud Score: 25, Risk: medium
INFO:root:Processed IP 146.70.134.2: Fraud Score: 36, Risk: medium
INFO:root:Processed IP 146.70.126.194: Fraud Score: 25, Risk: medium
INFO:root:Processed IP 10.124.2.11: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.10: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.134.34: Fraud Score: 36, Risk: medium
INFO:root:Processed IP 10.124.0.216: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.20: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.21: Fraud Score: 0, Risk: low
INFO:root:Processed IP 149.88.104.15: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 154.47.16.34: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 149.88.104.2: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 146.70.134.66: Fraud Score: 36, Risk: medium
INFO:root:Processed IP 10.124.0.217: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.33: Fraud Score: 0, Risk: low
INFO:root:Processed IP 154.47.16.47: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 146.70.129.98: Fraud Score: 50, Risk: medium
INFO:root:Processed IP 10.124.2.57: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.58: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.129.130: Fraud Score: 50, Risk: medium
INFO:root:Processed IP 10.124.2.34: Fraud Score: 0, Risk: low
INFO:root:Processed IP 178.249.209.162: Fraud Score: 40, Risk: medium
INFO:root:Processed IP 178.249.209.175: Fraud Score: 40, Risk: medium
INFO:root:Processed IP 10.124.0.7: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.8: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.248.66: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.248.67: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.9: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.248.69: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.248.68: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.179: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.55: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.248.70: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.248.71: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.239: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.196: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.248.75: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.30: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.92: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.91: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.254.75.4: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.254.75.5: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.254.75.3: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.54: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.53: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.213.155.73: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.213.155.74: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.23: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.26: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.209.196.73: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.209.196.74: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.27: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.209.196.75: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.222: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.209.196.76: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.24: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.209.196.77: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.25: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.209.196.78: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.240: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.243: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.213.155.72: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.117.162: Fraud Score: 54, Risk: medium
INFO:root:Processed IP 10.124.1.238: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.239: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.117.194: Fraud Score: 54, Risk: medium
INFO:root:Processed IP 10.124.1.240: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.117.226: Fraud Score: 54, Risk: medium
